Total Distance (m),Total Duration,High Speed Distance (m),Total Player Load,Result
8416.20801,102,671.05001,859.82611,NW
11022.91113,113,655.41,1070.56396,NW
8654.26074,102,183.83,892.16498,NW
8138.76953,102,454.5,776.33838,NW
1307.71619,15,172.71001,138.18188,NW
8384.16992,102,564.39001,830.125,NW
7778.39648,102,485.05999,760.87335,NW
3887.39575,44,75.47,344.21439,NW
9919.77051,119,247.5,1027.30865,NW
7240.09521,95,211.09999,654.18347,NW
8601.94238,102,381.09001,1005.99127,NW
8384.16992,102,564.39001,830.125,NW
7622.88818,102,455.41001,833.96405,NW
5473.62012,73,332.6,643.44702,NW
8319.63477,102,245.40001,833.85797,NW
11099.60449,113,633.34002,1064.95117,NW
7808.41846,102,149.05,877.68152,NW
10624.16602,113,443.68001,1238.9447,NW
8945.99609,102,555.21,1034.15479,NW
7614.19727,102,224,768.33698,NW
7636.11523,102,421.59,791.20792,W
8782.01175,104,307.39,889.49785,W
8051.68955,104,531.3,765.00594,W
7636.28271,101,376.56,776.45715,W
7692.56184,104,562.9,754.62769,W
7723.02299,104,574.74001,728.80735,W
8268.84668,101,358.52,914.54675,W
3468.17114,50,2.77,374.80518,W
11479.42761,93,996.36001,1134.43333,W
8112.2085,104,468.19999,715.63601,W
7544.17252,104,408.89,873.48797,W
8202.52364,104,514.57001,943.0838,W
12246.55676,93,680.96,1068.2458,W
1745.09412,17,104.62,152.1259,W
7689.13818,101,259.15001,875.31934,W
11615.46326,93,589.51999,1244.26883,W
8100.14404,101,292.41,832.6944,W
7600.33681,102,396.42,684.77338,W
6656.25098,92,460.21001,679.96729,NW
6893.4646,102,298.53999,679.31699,NW
6260.53271,92,374.46001,605.60413,NW
6449.87598,92,388.86,721.76294,NW
6642.67236,92,269.41,612.13745,NW
4679.53223,81,126.28,524.36658,NW
6899.06287,102,269.48,614.65704,NW
6904.55762,92,358.91999,748.26141,NW
6329.35352,92,454.15999,627.77991,NW
5878.11426,92,259.29,688.45465,NW
3298.39917,36,867.27003,393.77985,NW
6348.1416,92,382.70999,635.94592,NW
6386.7915,92,254.38,781.18762,NW
6740.77295,92,281.41,810.99011,NW
6786.10486,102,369.08999,686.59661,NW
1067.526,28,0,157.81137,NW
2318.45532,56,32.75,244.11395,NW
4501.69507,82,84.1,516.34857,NW
3859.45435,73,752.42998,381.88885,NW
2829.54932,56,42.38,312.66882,NW
4354.35986,73,619.09003,436.17703,NW
2864.04565,56,98.95,302.85931,NW
4527.8313,83,96.34,472.05476,NW
3421.05615,83,45.86,365.59215,NW
6976,108.69,318,0,NW
5690.91455,107,236.22,630.41434,NW
4455.91785,79,66.06,412.05144,NW
4817.98193,82,39.41,613.09586,NW
3631.08899,72,667.82999,389.46777,NW
2976.17725,56,105.76,353.11172,NW
2176.26318,38,61.34,256.28528,NW
3455.45337,28,586.01998,311.6749,NW
5641.83521,97,743.28001,546.99731,NW
4597.80249,107,57.82,484.14928,NW
2603.20313,56,22.97,319.86917,NW
4443.15222,82,35.03,524.31793,NW
2764.72559,56,75.88,275.70016,NW
4232.71265,82,84.71,469.14154,NW
4008.09766,72,682.72999,395.70496,NW
9674.2251,136,665.83998,998.78662,NW
7865.25977,99,588.85,853.17749,NW
8270.08203,127,611.56998,970.47784,NW
7660.23535,99,564.92001,839.06818,NW
9282.41211,131,370.48,1003.5878,NW
7678.18115,99,540.74,720.77478,NW
7353.22607,99,653.05999,812.61731,NW
9444.37292,136,725.02999,1026.70987,NW
10349.67676,129,687.81999,1145.06949,NW
8344.40625,116,412.54,822.86455,NW
7585.72119,99,516.67998,966.51874,NW
6605.32324,99,495.76001,716.01166,NW
6397.24609,99,662.60001,755.96088,NW
7795.13818,99,549.55999,784.0116,NW
2547.61914,41,98.9,359.37057,NW
7206.59473,99,295.12,922.39594,NW
8239.74854,127,433.27001,875.66,NW
8042.73291,99,715.07,813.80328,NW
7975.97095,119,639.14999,916.68446,NW
3391.19214,48,293.61,423.54837,NW
3937.81519,62,165.58,405.36502,NW
